Rank,Name,Domestic Box Office,Movies,Average
1,Samuel L. Jackson,5700692814,63,90487188
2,"Robert Downey, Jr.",5474166329,43,127306194
3,Scarlett Johansson,5256939539,32,164279361
4,Tom Hanks,5065897608,53,95582974
5,Bradley Cooper,4296699396,27,159137015
6,Harrison Ford,4051252757,42,96458399
7,Chris Evans,3970719937,28,141811426
8,Tom Cruise,3960861213,43,92113051
9,Chris Hemsworth,3959570662,25,158382826
10,Zoe Saldana,3956411817,28,141300422
11,Chris Pratt,3951048052,20,197552403
12,Johnny Depp,3685235615,51,72259522
13,Eddie Murphy,3583063429,42,85311034
14,Will Smith,3541266885,34,104154908
15,Vin Diesel,3457436277,26,132978318
16,Dwayne Johnson,3372168796,36,93671355
17,Mark Ruffalo,3371517885,22,153250813
18,Tom Holland,3258224431,15,217214962
19,Don Cheadle,3257133326,22,148051515
20,Matt Damon,3219561975,42,76656238
21,Jeremy Renner,3185916086,18,176995338
22,Emma Watson,3048074482,15,203204965
23,Bruce Willis,2917497183,78,37403810
24,Adam Sandler,2868254500,41,69957427
25,Chadwick Boseman,2840667425,11,258242493
26,Ben Stiller,2797049842,34,82266172
27,Nicolas Cage,2758164904,86,32071685
28,Josh Brolin,2750739401,23,119597365
29,Karen Gillan,2742798149,13,210984473
30,Steve Carell,2724332161,27,100901191
31,Jim Carrey,2723827458,30,90794249
32,Leonardo DiCaprio,2632842524,27,97512686
33,Jennifer Lawrence,2594808492,22,117945841
34,Robin Williams,2587460319,37,69931360
35,Benedict Cumberbatch,2584230225,16,161514389
36,Liam Neeson,2566047471,55,46655409
37,Robert De Niro,2537897128,74,34295907
38,Daniel Radcliffe,2527050361,22,114865926
39,Mark Wahlberg,2526181788,43,58748414
40,Hugh Jackman,2523117937,33,76458119
41,Sandra Bullock,2511604116,34,73870709
42,Brad Pitt,2506232427,43,58284475
43,Dave Bautista,2505218908,20,125260945
44,Gwyneth Paltrow,2480583070,20,124029154
45,Cameron Diaz,2466609332,28,88093190
46,Denzel Washington,2465989690,47,52467866
47,Ian McKellen,2461751102,18,136763950
48,Elizabeth Olsen,2458177104,14,175584079
49,Ewan McGregor,2414430382,34,71012658
50,Sebastian Stan,2408019222,11,218910838
51,Julia Roberts,2399540181,36,66653894
52,Ben Affleck,2396238497,44,54459966
53,Tom Hiddleston,2394719717,13,184209209
54,Rupert Grint,2392157094,13,184012084
55,Letitia Wright,2367976908,10,236797691
56,Paul Bettany,2362328420,14,168737744
57,Mel Gibson,2341409610,48,48779367
58,Kevin Hart,2320231330,31,74846172
59,John Travolta,2279768233,51,44701338
60,Owen Wilson,2279128646,36,63309129
61,Adam Driver,2263075433,18,125726413
62,Mark Hamill,2253015593,13,173308892
63,Morgan Freeman,2247064765,43,52257320
64,Danai Gurira,2237248048,4,559312012
65,Will Ferrell,2222911336,35,63511752
66,Tim Allen,2195729389,20,109786469
67,Daisy Ridley,2188664563,7,312666366
68,Ryan Reynolds,2153504364,40,53837609
69,John Boyega,2149738038,14,153552717
70,Christian Bale,2148766565,34,63199017
71,Sylvester Stallone,2146426556,51,42086795
72,Natalie Portman,2094991017,31,67580355
73,Mike Myers,2074638897,14,148188493
74,George Clooney,2066805818,34,60788406
75,Meryl Streep,2051507994,50,41030160
76,Keanu Reeves,2003729317,47,42632539
77,Jack Black,1998368273,26,76860318
78,Paul Rudd,1996085508,28,71288768
79,Pom Klementieff,1930022716,4,482505679
80,Shia LaBeouf,1923757575,26,73990676
81,Idris Elba,1878250818,28,67080386
82,Josh Gad,1875782110,16,117236382
83,Channing Tatum,1854728900,29,63956169
84,Kevin Costner,1840837211,40,46020930
85,Clint Eastwood,1819074512,48,37897386
86,Seth Rogen,1800141918,24,75005913
87,Michael Douglas,1794977942,35,51285084
88,Lupita Nyong'o,1775281825,8,221910228
89,Benedict Wong,1774213811,5,354842762
90,Arnold Schwarzenegger,1745985584,34,51352517
91,Reese Witherspoon,1721944337,36,47831787
92,Dustin Hoffman,1697122428,32,53035076
93,Steve Martin,1693798558,36,47049960
94,Carrie Fisher,1682672124,7,240381732
95,Anthony Hopkins,1674661642,38,44070043
96,Kristen Stewart,1674088712,28,59788883
97,Bill Murray,1658398345,35,47382810
98,Orlando Bloom,1645754851,20,82287743
